Id,SalePrice
1461,119854.43072225392
1462,157434.9394573975
1463,179175.29547195265
1464,191683.77167259034
1465,200458.82653431935
1466,170105.0944226769
1467,177888.08659307385
1468,161289.37378623782
1469,195434.59962023454
1470,124272.18818931948
1471,189600.95648376673
1472,103289.23287688586
1473,95892.3109560186
1474,144008.5933692893
1475,115016.53083170179
1476,354700.43082579
1477,240588.1017044395
1478,279645.87832491664
1479,278247.39511706016
1480,516159.9182642117
1481,327058.4868720466
1482,199198.9819048993
1483,173893.6390057736
1484,163393.2029733616
1485,180558.18297114034
1486,191535.9325952299
1487,334616.38460355107
1488,231097.9551837032
1489,196113.28876860422
1490,232195.34671127005
1491,191134.08515277877
1492,93162.97043437882
1493,181269.82845868682
1494,274632.008840962
1495,284413.80209740764
1496,228688.33847571566
1497,183593.24665062875
1498,173331.13191828132
1499,162148.11143869872
1500,156510.4103060023
1501,176686.46322553296
1502,161838.50364833605
1503,244583.40810529096
1504,244991.00245774476
1505,227419.96223318658
1506,189455.59505037245
1507,260254.2633662121
1508,197409.2251187047
1509,161645.6271799959
1510,147651.85434194782
1511,155259.02150849375
1512,163941.70763963263
1513,145133.92054837276
1514,150496.34600929683
1515,190640.01732547354
1516,145221.74219990394
1517,169753.18348409722
1518,130691.03076988673
1519,218441.55355791256
1520,131499.96498794213
1521,134826.38093884097
1522,173305.27062005454
1523,117531.93523459481
1524,116079.26429674902
1525,121860.84458670366
1526,110944.65430626505
1527,110048.57317526267
1528,140521.92642696825
1529,149086.83164839915
1530,180954.18667877963
1531,112610.72522617372
1532,90150.19899832885
1533,143481.89985561458
1534,123093.76675204029
1535,146098.3684205473
1536,109426.2445504957
1537,64221.036355132186
1538,140002.42122518053
1539,167284.90743308776
1540,84349.06674325961
1541,130161.22290124165
1542,152868.31086951875
1543,180835.41078052032
1544,81659.15811558376
1545,114671.79949434793
1546,135372.30861876294
1547,127435.28253280665
1548,131833.0853821334
1549,118037.51678290669
1550,138749.75564947582
1551,110107.65353674267
1552,139728.81056723915
1553,134590.5590337917
1554,122871.22291027522
1555,162971.7995229198
1556,97586.71126961856
1557,97883.84761736132
1558,110123.80531951289
1559,74867.01065498998
1560,132225.63046717833
1561,119892.85353394036
1562,132447.59128392776
1563,125368.1138250671
1564,163371.22679990926
1565,148374.47078000868
1566,233391.0499144046
1567,84705.50560077497
1568,247879.18396041467
1569,143345.84588674048
1570,123605.6984990354
1571,109389.21818166126
1572,141858.8490041188
1573,211069.39868656814
1574,131484.44048946354
1575,254092.3347797928
1576,221607.43127509576
1577,177352.2958359886
1578,132532.06828058977
1579,150196.9323187639
1580,194111.10571654036
1581,148498.58535381383
1582,123386.48637318742
1583,297398.0472609738
1584,219397.17671341746
1585,140624.34958773557
1586,72436.48534768673
1587,105713.24272150215
1588,155886.01137838763
1589,95876.53358438083
1590,133937.28106917438
1591,97103.05809825029
1592,122294.783970859
1593,124445.48384349933
1594,130496.89623854843
1595,116518.46195755665
1596,240462.2540693655
1597,208773.6502510642
1598,228769.66374372834
1599,162815.46554903456
1600,157886.34561792677
1601,69741.67329171728
1602,127466.18600824919
1603,66376.71516977172
1604,273223.91349804355
1605,238522.67703752374
1606,164171.80431500234
1607,173078.01353209978
1608,200281.05493664375
1609,180036.7622091799
1610,150094.23736455987
1611,139726.73739165207
1612,172327.9431140238
1613,164769.57473130306
1614,113664.70070487117
1615,84131.30439262664
1616,82167.09385679873
1617,89170.86034017628
1618,129976.55256884919
1619,133144.30687730687
1620,184896.6566151225
1621,138216.23828666515
1622,146432.3740650533
1623,271543.5937792881
1624,217256.88746582298
1625,117083.44509224189
1626,168739.32457526392
1627,194651.1857239522
1628,277676.4079485363
1629,176467.08944255285
1630,370193.0781636372
1631,221349.21872814148
1632,242931.50030235475
1633,171406.20787342338
1634,183587.13700304204
1635,172245.57141801223
1636,151620.16301087325
1637,204306.14913461526
1638,168164.0633073522
1639,177627.28844093098
1640,245697.0408025339
1641,185760.5509023673
1642,244366.49291638244
1643,211708.91595352863
1644,231413.57496277377
1645,205607.45109610958
1646,160887.96461045367
1647,162032.51122236962
1648,134677.13824190645
1649,135973.1328324888
1650,111678.03568349361
1651,126110.84383217797
1652,101210.035497954
1653,98895.7914414541
1654,148702.13734229616
1655,136076.70968005015
1656,139944.6434449094
1657,147824.2536780995
1658,147091.3219478982
1659,123149.70577779313
1660,150744.56458739607
1661,439545.172673183
1662,400047.63566586684
1663,366273.23847357515
1664,529400.0631716462
1665,293245.46901339985
1666,325308.36368945776
1667,358484.7477901444
1668,336970.5798505501
1669,291001.5167651121
1670,334903.043170064
1671,263831.5493930499
1672,433625.18305634364
1673,278688.94738505385
1674,230770.1400239135
